CID,DRKG_ID,CanonicalSMILES,P_NP
64961,CHEBI:109895,C1=CC=C2C(=C1)C3=C(N2)C=NC=C3,1
8275,CHEBI:134923,CCC(C)C1(C(=O)NC(=O)NC1=O)CC=C,1
6344,CHEBI:15767,C(Cl)Cl,0
702,CHEBI:17246,CCO,0
6325,CHEBI:18153,C=C,1
6348,CHEBI:23012,C(=S)=S,1
15413,CHEBI:27642,CC(C)(C)OC,1
8857,CHEBI:27750,CCOC(=O)C,0
1148,CHEBI:27897,C1=CC=C2C(=C1)C(=CN2)CC(C(=O)O)N,1
144,CHEBI:28171,C1=CC2=C(C=C1O)C(=CN2)CC(C(=O)O)N,1
8058,CHEBI:29021,CCCCCC,1
638186,CHEBI:29027,C(=CCl)Cl,0
16533,CHEBI:31277,CCCCC(=O)OC1(C(CC2C1(CC(C3(C2CCC4=CC(=O)C=CC43C)F)O)C)C)C(=O)CO,1
2797,CHEBI:34648,CC(C)(C(=O)O)OC1=CC=C(C=C1)Cl,0
6278,CHEBI:36015,CC(Cl)(Cl)Cl,1
6101829,CHEBI:36792,CN(C)CCCC1(C2=C(CO1)C=C(C=C2)C#N)C3=CC=C(C=C3)F,1
5360696,CHEBI:4470,CN1CCC23CCCCC2C1CC4=C3C=C(C=C4)OC,0
5362449,CHEBI:4470,CN1CCC23CCCCC2C1CC4=C3C=C(C=C4)OC,1
6249,CHEBI:53713,CC1(C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=CC=C3)N)C(=O)O)C,0
5311424,CHEMBL10188,CCC(C1=CC=CC=C1)NC(=O)C2=C(C(=NC3=CC=CC=C32)C4=CC=CC=C4)O,1
6604009,CHEMBL10284,CCC(C1=CC=CC=C1)NC(=O)C2=C(C(=NC3=CC=CC=C32)C4=CC=CC=C4)C,1
114709,CHEMBL1067,C1C(C2=CC=CC=C2N(C3=CC=CC=C31)C(=O)N)O,0
6167,CHEMBL107,CC(=O)NC1CCC2=CC(=C(C(=C2C3=CC=C(C(=O)C=C13)OC)OC)OC)OC,0
6100,CHEMBL1095292,CC[N+](C)(C)CC1=CC=CC=C1Br.CC1=CC=C(C=C1)S(=O)(=O)[O-],0
2344,CHEMBL116590,CN1C2CCC1CC(C2)OC(C3=CC=CC=C3)C4=CC=CC=C4,1
5282492,CHEMBL1200376,CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)CO)OC(=O)C5=CC=CC=C5)C)O)F)C,1
21800,CHEMBL1200384,CCC(=O)OCC(=O)C1(C(CC2C1(CC(C3(C2CCC4=CC(=O)C=CC43C)F)O)C)C)OC(=O)CC,1
11224,CHEMBL1200392,CC(C1=CC=CC=C1)(C2=CC=CC=N2)OCCN(C)C.C(CC(=O)O)C(=O)O,1
6216,CHEMBL1200449,CC(=O)OCC(=O)C1(C(CC2C1(CC(C3(C2CCC4=CC(=O)C=CC43C)F)O)C)OC(=O)C)O,1
68304,CHEMBL1200478,CCCCOC1=CC=C(C=C1)C(=O)CCN2CCCCC2.Cl,0
443967,CHEMBL1200538,CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)COC(=O)C)O)C)O)F)C,1
71414,CHEMBL1200545,CC1CC2C3CC(C4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)COC(=O)C)OC(=O)C)C)O)F)C)F,1
54684461,CHEMBL1200699,CC1C2C(C3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O.O,0
656684,CHEMBL1200788,COC1CN(CCC1NC(=O)C2=CC(=C(C=C2OC)N)Cl)CCCOC3=CC=C(C=C3)F.O,1
21826,CHEMBL1200878,CC1(OC2CC3C4CCC5=CC(=O)C=CC5(C4(C(CC3(C2(O1)C(=O)COC(=O)CC(C)(C)C)C)O)F)C)C,1
61100,CHEMBL1200895,C1=CC=C(C=C1)CCNN.OS(=O)(=O)O,1
19004,CHEMBL1200950,C[N+]12CCC(CC1)C(C2)OC(=O)C(C3=CC=CC=C3)(C4=CC=CC=C4)O.[Br-],0
3389,CHEMBL1200951,CCCCCCC(=O)OCCN1CCN(CC1)CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)C(F)(F)F,1
