Drug_1,Drug_2,Similarity,Relation
0,1097,1.0,0
1,159,0.875,0
1,195,0.8490566037735849,0
1,250,0.8888888888888888,0
1,1000,0.8490566037735849,0
1,1026,1.0,0
1,1051,0.8490566037735849,0
1,1311,0.875,0
1,1423,0.8888888888888888,0
1,2022,0.8035714285714286,0
1,2306,1.0,0
1,2539,0.8490566037735849,0
1,3120,0.8490566037735849,0
1,3547,0.8035714285714286,0
1,3691,0.875,0
1,3805,0.8888888888888888,0
1,3811,1.0,0
1,3821,0.8490566037735849,0
1,3822,0.8490566037735849,0
1,3937,0.8490566037735849,0
2,3,1.0,0
2,4,1.0,0
2,5,1.0,0
2,14,1.0,0
2,51,1.0,0
2,73,1.0,0
2,152,1.0,0
2,406,1.0,0
2,595,1.0,0
2,752,1.0,0
2,908,1.0,0
2,918,1.0,0
2,982,1.0,0
2,1009,1.0,0
2,1030,1.0,0
2,1042,1.0,0
2,1072,1.0,0
2,1183,1.0,0
2,1192,1.0,0
2,1199,1.0,0
2,1201,1.0,0
2,1202,1.0,0
2,1203,1.0,0
2,1205,1.0,0
2,1211,1.0,0
2,1212,1.0,0
2,1214,1.0,0
2,1248,1.0,0
2,1255,1.0,0
2,1259,1.0,0
2,1265,1.0,0
2,1283,1.0,0
2,1371,1.0,0
2,1448,1.0,0
2,1552,1.0,0
2,1621,1.0,0
2,1909,1.0,0
2,2506,1.0,0
2,2590,1.0,0
2,3055,1.0,0
2,3391,1.0,0
2,3424,1.0,0
2,3543,1.0,0
2,3748,1.0,0
2,3803,1.0,0
2,3850,1.0,0
2,3925,1.0,0
2,3926,1.0,0
2,3927,1.0,0
2,3940,1.0,0
3,4,1.0,0
3,5,1.0,0
3,14,1.0,0
3,51,1.0,0
3,73,1.0,0
3,152,1.0,0
3,406,1.0,0
3,595,1.0,0
3,752,1.0,0
3,908,1.0,0
3,918,1.0,0
3,982,1.0,0
3,1009,1.0,0
3,1030,1.0,0
3,1042,1.0,0
3,1072,1.0,0
3,1183,1.0,0
3,1192,1.0,0
3,1199,1.0,0
3,1201,1.0,0
3,1202,1.0,0
3,1203,1.0,0
3,1205,1.0,0
3,1211,1.0,0
3,1212,1.0,0
3,1214,1.0,0
3,1248,1.0,0
3,1255,1.0,0
3,1259,1.0,0
3,1265,1.0,0
3,1283,1.0,0
3,1371,1.0,0
3,1448,1.0,0
3,1552,1.0,0
3,1621,1.0,0
3,1909,1.0,0
3,2506,1.0,0
3,2590,1.0,0
3,3055,1.0,0
3,3391,1.0,0
3,3424,1.0,0
3,3543,1.0,0
3,3748,1.0,0
3,3803,1.0,0
3,3850,1.0,0
3,3925,1.0,0
3,3926,1.0,0
3,3927,1.0,0
3,3940,1.0,0
4,5,1.0,0
4,14,1.0,0
4,51,1.0,0
4,73,1.0,0
4,152,1.0,0
4,406,1.0,0
4,595,1.0,0
4,752,1.0,0
4,908,1.0,0
4,918,1.0,0
4,982,1.0,0
4,1009,1.0,0
4,1030,1.0,0
4,1042,1.0,0
4,1072,1.0,0
4,1183,1.0,0
4,1192,1.0,0
4,1199,1.0,0
4,1201,1.0,0
4,1202,1.0,0
4,1203,1.0,0
